informasjonstype,navn,ingress,beskrivelse,kontekstavhengig_beskrivelse,normeringsniva,eif_niva,status,samhandlingstjenester,ansvarlig,dokumenttype,referanse_lenketekst,referanse_url
"Krav og prinsipper ","Informasjons- og sikkerhetsprinsipper for dokumentdeling",,"Prinsippene gir føringer for informasjonssikkerhet og det semantiske nivået av dokumentdeling og handler om ivaretakelse av informasjonssikkerhet, bruk av metadata og versjonshåndtering. Prinsippene er beskrevet i kapittel 6 i målarkitekturen.",,"Retningslinje","Semantisk","Eksisterer","Pasientens journaldokumenter","Helsedirektoratet","HITR","Målarkitektur for dokumentdeling, se kap 6.1 (ehelse.no)","https://www.ehelse.no/standardisering/standarder/malarkitektur-for-dokumentdeling"
"Krav og prinsipper ","Tekniske arkitekturprinsipper for dokumentdeling",,"Prinsippene gir føringer for det tekniske nivået av dokumentdeling og handler om tilgjengelighet og bruk av tekniske standarder og infrastruktur. Prinsippene er beskrevet i kapittel 6 i målarkitekturen.",,"Retningslinje","Teknisk","Eksisterer","Pasientens journaldokumenter","Helsedirektoratet","HITR","Målarkitektur for dokumentdeling, se kap. 6.1 (ehelse.no)","https://www.ehelse.no/standardisering/standarder/malarkitektur-for-dokumentdeling"
"Krav og prinsipper ","Referansearkitektur for dokumentdeling",,"Dette dokumentet beskriver nasjonal referansearkitektur for dokumentdeling innen helse- og omsorgstjenesten.",,"Retningslinje","Organisatorisk, Teknisk","Eksisterer","Pasientens journaldokumenter","Helsedirektoratet","HITR","Referansearkitektur for dokumentdeling (ehelse.no)","https://www.ehelse.no/standardisering/standarder/referansearkitektur-for-dokumentdeling"
"Krav og prinsipper ","Målarkitektur for nasjonal dokumentdeling",,"Målarkitekturen har som målsetning å sikre nasjonal dokumentoversikt for alle pasienter, hvor pasienten selv eller personer med fullmakt, samt personell med tjenstlig behov, kan få innsyn i dokumentene.",,"Retningslinje","Organisatorisk, Semantisk, Teknisk","Eksisterer","Pasientens journaldokumenter","Helsedirektoratet","HITR","Målarkitektur for dokumentdeling (ehelse.no)","https://www.ehelse.no/standardisering/standarder/malarkitektur-for-dokumentdeling"
"Krav og prinsipper ","Retningslinjer for logging ved data- og dokumentdeling",,"Dokumentet beskriver formål med logging, hvilke hendelser som skal logges og hva som er kravene til logging.",,"Retningslinje","Organisatorisk, Semantisk","Eksisterer","Pasientens journaldokumenter","Helsedirektoratet","HITS","Retningslinjer for logging ved data- og dokumentdeling (ehelse.no)","https://www.ehelse.no/standardisering/standarder/retningslinjer-for-logging-ved-data-og-dokumentdeling"
"Krav og prinsipper ","Mal og veiledning for utfylling av personvernkonsekvensvurdering (DPIA)",,"Dette er en mal og veiledning som skal hjelpe dataansvarlige i helse- og omsorgssektoren med å gjennomføre en vurdering av personvernkonsekvenser (DPIA).",,"Veileder","Organisatorisk","Eksisterer","Pasientens journaldokumenter","Helsedirektoratet","HITR","Mal og veiledning for utfylling av personvernkonsekvensvurdering (DPIA) (ehelse.no)","https://www.ehelse.no/standardisering/standarder/mal-og-veiledning-for-utfylling-av-personvernkonsekvensvurdering-dpia"
"Krav og prinsipper ","Veileder for helse- og omsorgssektoren: Bruk av Digitaliseringsdirektoratets ""Overordnede arkitekturprinsipper for digitalisering av offentlig sektor""",,"Veileder som gir tilleggsforklaringer og anbefalinger for helsesektoren til DigDirs overordnede arkitekturprinsipper, og lenker til relevante ressurser som nettsteder og dokumenter.",,"Veileder","Organisatorisk","Eksisterer","Pasientens journaldokumenter","Helsedirektoratet","HITR","Veileder for helse- og omsorgssektoren: Bruk av Digitaliseringsdirektoratets ""Overordnede arkitekturprinsipper for digitalisering av offentlig sektor"" (ehelse.no)","https://www.ehelse.no/standardisering/standarder/veileder-for-helse-og-omsorgssektoren-bruk-av-digitaliseringsdirektoratets-overordnede-arkitekturprinsipper-for-digitalisering-av-offentlig-sektor"
"Krav og prinsipper ","Veileder om bruk av NS-EN ISO 27269:2022 Helseinformatikk - Oppsummerende pasientopplysninger [The International Patient Summary]",,"Anbefaling for bruk av standarden NS-EN ISO 27269:2022 Helseinformatikk - Oppsummerende pasientopplysninger [The International Patient Summary] i Norge",,"Veileder","Semantisk","Eksisterer","Pasientens kritiske informasjon","Helsedirektoratet","HITR","Veileder om bruk av NS-EN ISO 27269:2022 Helseinformatikk - Oppsummerende pasientopplysninger [The International Patient Summary] (ehelse.no)","https://www.ehelse.no/standardisering/standarder/veileder-om-bruk-av-ns-en-27269-helseinformatikk-oppsummerende-pasientopplysninger-IPS"
"Krav og prinsipper ","Retningslinjer for deling av kritisk informasjon",,"Det er behov for veiledning om hvordan standarder og kodeverk skal tas i bruk for utveksling av kritisk informasjon, inkludert bruk av den internasjonale standarden International Patient Summary (IPS). Helsedirektoratet har identifisert behov for arbeid på dette området",,,"Semantisk","Udekkede behov","Pasientens kritiske informasjon","Helsedirektoratet",,,
"Krav og prinsipper ","Veileder for å vurdere hvilke helsepersonellgrupper som kan få tilgang til hvilke dokumenttyper",,"Det er behov for en standardisert måte å vurdere hvilke helsepersonellgrupper som kan få tilgang til hvilke dokumenttyper, f. eks. hvilke personell ved en legevakt skal få tilgang til hvilke dokumenttyper. Det jobbes med dette i de regionale utprøvingsprosjektene",,,"Organisatorisk","Udekkede behov","Pasientens journaldokumenter",,,,
"Krav og prinsipper ","Felles tilgangsregler for datadeling og dokumentdeling",,"Felles tilgangsregler, krav og retningslinjer er en viktig del av felles tillitsmodell. Dette sier blant annet noe om hvilken informasjon som skal gis tilgang til og hvilke plikter som gjelder. Dette er under etablering i regi av Norsk helsenett",,,"Organisatorisk","Under utvikling","Pasientens journaldokumenter","Norsk helsenett (NHN)",,,
"Krav og prinsipper ","Krav til sikkerhetsbillett ved deling av helseopplysninger",,"Felles tillitsmodell vil spesifisere hvilken informasjon som skal være med i sikkerhetsbilletten ved bruk av data- eller dokumentdeling. Aktører som tar i bruk data- eller dokumentdeling må kunne håndtere denne informasjonen. Norsk helsenett er ansvarlig for utviklingen",,"Retningslinje","Semantisk, Teknisk","Under utvikling","Pasientens journaldokumenter","Norsk helsenett (NHN)","HITS","Krav til sikkerhetsbillett ved deling av helseopplysninger (ehelse.no)","https://www.ehelse.no/standardisering/standarder/krav-til-sikkerhetsbillett-ved-deling-av-helseopplysninger"
"Kodeverk og terminologi ","FEST - Forskrivnings- og ekspedisjonsstøtte",,"FEST er et datagrunnlag som gir lege, apotek og bandasjist oppdatert informasjon om alt du kan få på resept i Norge. Det beriker elektroniske kurveløsninger og legger grunnlag for pasientrettet legemiddelinformasjon.

",,,,"Eksisterer","Pasientens kritiske informasjon, Pasientens legemiddelliste","Legemiddelverket",,"FEST - Forskrivnings- og ekspedisjonsstøtte (legemiddelverket.no)","https://www.legemiddelverket.no/om-oss/distribusjon-av-legemiddeldata/fest"
