informasjonstype                ,navn                                                                                                                                                ,ingress                                                                                                                                                                           ,beskrivelse                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,kontekstavhengig_beskrivelse                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,normeringsniva        ,eif_niva                             ,status           ,samhandlingstjenester                                                                                                                  ,ansvarlig                                   ,dokumenttype ,referanse_lenketekst                                                                                                                                                                                                                     ,referanse_url                                                                                                                                                                                                                                                                                                                                                                   ,search_text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,has_url ,content_type                                                               ,keywords
Krav og prinsipper              ,Informasjons- og sikkerhetsprinsipper for dokumentdeling                                                                                            ,                                                                                                                                                                                  ,"Prinsippene gir føringer for informasjonssikkerhet og det semantiske nivået av dokumentdeling og handler om ivaretakelse av informasjonssikkerhet, bruk av metadata og versjonshåndtering. Prinsippene er beskrevet i kapittel 6 i målarkitekturen."                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,retningslinje         ,Semantisk                            ,eksisterer       ,Pasientens journaldokumenter                                                                                                           ,Helsedirektoratet                           ,HITR         ,"Målarkitektur for dokumentdeling, se kap 6.1 (ehelse.no)"                                                                                                                                                                               ,https://httpswww.ehelse.nostandardiseringstandardermalarkitektur-for-dokumentdeling                                                                                                                                                                                                                                                                                             ,"Krav og prinsipper Informasjons- og sikkerhetsprinsipper for dokumentdeling Informasjons- og sikkerhetsprinsipper for dokumentdeling Informasjons- og sikkerhetsprinsipper for dokumentdeling Prinsippene gir føringer for informasjonssikkerhet og det semantiske nivået av dokumentdeling og handler om ivaretakelse av informasjonssikkerhet, bruk av metadata og versjonshåndtering. Prinsippene er beskrevet i kapittel 6 i målarkitekturen."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,True    ,"retningslinjer veiledere og prinsipper"                                   ,"prinsipper,sikkerhet,dokumentdeling"
Krav og prinsipper              ,Tekniske arkitekturprinsipper for dokumentdeling                                                                                                    ,                                                                                                                                                                                  ,Prinsippene gir føringer for det tekniske nivået av dokumentdeling og handler om tilgjengelighet og bruk av tekniske standarder og infrastruktur. Prinsippene er beskrevet i kapittel 6 i målarkitekturen.                                                                                                                                                                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,retningslinje         ,Teknisk                              ,eksisterer       ,Pasientens journaldokumenter                                                                                                           ,Helsedirektoratet                           ,HITR         ,"Målarkitektur for dokumentdeling, se kap. 6.1 (ehelse.no)"                                                                                                                                                                              ,https://httpswww.ehelse.nostandardiseringstandardermalarkitektur-for-dokumentdeling                                                                                                                                                                                                                                                                                             ,Krav og prinsipper Tekniske arkitekturprinsipper for dokumentdeling Tekniske arkitekturprinsipper for dokumentdeling Tekniske arkitekturprinsipper for dokumentdeling Prinsippene gir føringer for det tekniske nivået av dokumentdeling og handler om tilgjengelighet og bruk av tekniske standarder og infrastruktur. Prinsippene er beskrevet i kapittel 6 i målarkitekturen.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,True    ,"retningslinjer veiledere og prinsipper"                                   ,"teknisk,arkitekturprinsipper,dokumentdeling"
Krav og prinsipper              ,Referansearkitektur for dokumentdeling                                                                                                              ,                                                                                                                                                                                  ,Dette dokumentet beskriver nasjonal referansearkitektur for dokumentdeling innen helse- og omsorgstjenesten.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,retningslinje         ,"Organisatorisk, Teknisk"            ,eksisterer       ,Pasientens journaldokumenter                                                                                                           ,Helsedirektoratet                           ,HITR         ,Referansearkitektur for dokumentdeling (ehelse.no)                                                                                                                                                                                       ,https://httpswww.ehelse.nostandardiseringstandarderreferansearkitektur-for-dokumentdeling                                                                                                                                                                                                                                                                                       ,Krav og prinsipper Referansearkitektur for dokumentdeling Referansearkitektur for dokumentdeling Referansearkitektur for dokumentdeling Dette dokumentet beskriver nasjonal referansearkitektur for dokumentdeling innen helse- og omsorgstjenesten.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,True    ,"retningslinjer veiledere og prinsipper"                                   ,"dokumentdeling, arkitektur"
Krav og prinsipper              ,Målarkitektur for nasjonal dokumentdeling                                                                                                           ,                                                                                                                                                                                  ,"Målarkitekturen har som målsetning å sikre nasjonal dokumentoversikt for alle pasienter, hvor pasienten selv eller personer med fullmakt, samt personell med tjenstlig behov, kan få innsyn i dokumentene."                                                                                                                                                                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,retningslinje         ,"Organisatorisk, Semantisk, Teknisk" ,eksisterer       ,Pasientens journaldokumenter                                                                                                           ,Helsedirektoratet                           ,HITR         ,Målarkitektur for dokumentdeling (ehelse.no)                                                                                                                                                                                             ,https://httpswww.ehelse.nostandardiseringstandardermalarkitektur-for-dokumentdeling                                                                                                                                                                                                                                                                                             ,"Krav og prinsipper Målarkitektur for nasjonal dokumentdeling Målarkitektur for nasjonal dokumentdeling Målarkitektur for nasjonal dokumentdeling Målarkitekturen har som målsetning å sikre nasjonal dokumentoversikt for alle pasienter, hvor pasienten selv eller personer med fullmakt, samt personell med tjenstlig behov, kan få innsyn i dokumentene."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,True    ,"retningslinjer veiledere og prinsipper"                                   ,Krav og prinsipper              ,Målarkitektur for nasjonal dokumentdeling                                                                                                           ,                                                                                                                                                                                  ,"Målarkitekturen har som målsetning å sikre nasjonal dokumentoversikt for alle pasienter, hvor pasienten selv eller personer med fullmakt, samt personell med tjenstlig behov, kan få innsyn i dokumentene."                                                                                                                                                                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,retningslinje         ,"Organisatorisk, Semantisk, Teknisk" ,eksisterer       ,Pasientens journaldokumenter                                                                                                           ,Helsedirektoratet                           ,HITR         ,Målarkitektur for dokumentdeling (ehelse.no)                                                                                                                                                                                             ,https://httpswww.ehelse.nostandardiseringstandardermalarkitektur-for-dokumentdeling                                                                                                                                                                                                                                                                                             ,"Krav og prinsipper Målarkitektur for nasjonal dokumentdeling Målarkitektur for nasjonal dokumentdeling Målarkitektur for nasjonal dokumentdeling Målarkitekturen har som målsetning å sikre nasjonal dokumentoversikt for alle pasienter, hvor pasienten selv eller personer med fullmakt, samt personell med tjenstlig behov, kan få innsyn i dokumentene."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,True    ,"retningslinjer veiledere og prinsipper"                                   ,
Krav og prinsipper              ,Retningslinjer for logging ved data- og dokumentdeling                                                                                              ,                                                                                                                                                                                  ,"Dokumentet beskriver formål med logging, hvilke hendelser som skal logges og hva som er kravene til logging."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,retningslinje         ,"Organisatorisk, Semantisk"          ,eksisterer       ,Pasientens journaldokumenter                                                                                                           ,Helsedirektoratet                           ,HITS         ,Retningslinjer for logging ved data- og dokumentdeling (ehelse.no)                                                                                                                                                                       ,https://httpswww.ehelse.nostandardiseringstandarderretningslinjer-for-logging-ved-data-og-dokumentdeling                                                                                                                                                                                                                                                                        ,"Krav og prinsipper Retningslinjer for logging ved data- og dokumentdeling Retningslinjer for logging ved data- og dokumentdeling Retningslinjer for logging ved data- og dokumentdeling Dokumentet beskriver formål med logging, hvilke hendelser som skal logges og hva som er kravene til logging."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,True    ,"retningslinjer veiledere og prinsipper"                                   ,krav
