informasjonstype,navn,ingress,beskrivelse,kontekstavhengig_beskrivelse,normeringsniva,eif_niva,status,samhandlingstjenester,ansvarlig,referanse_lenketekst,referanse_url
Nasjonal e-helseløsning ,Helsenorge,,Helsenorge er den offentlige helseportalen for innbyggere i Norge. Helsenorge.no gir brukere tilgang egen helseinformasjon.,,,Organisatorisk,Eksisterer,"Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste",Norsk helsenett (NHN),Om Helsenorge (nhn.no),https://www.nhn.no/tjenester/helsenorge
Krav og prinsipper ,Kritisk informasjon i kjernejournal - klinisk beskrivelse og kodeverk,,Beskrivelse av kodeverk som brukes i forbindelse med kritisk informasjon i kjernejournal. Dokumentet eies av Norsk Helsenett.,,,"Organisatorisk, Semantisk",Eksisterer,Pasientens kritiske informasjon,Norsk helsenett (NHN),Kritisk informasjon i kjernejournal - klinisk beskrivelse og kodeverk (PDF) (nhn.no),https://www.nhn.no/tjenester/kjernejournal/dokumentasjon-for-kjernejournal/nyttig-dokumentasjon-for-helsepersonell/IE-2006_kritisk%20informasjon_Klinisk%20beskrivelse%20og%20kodeverk_.pdf
Krav og prinsipper ,Løsningsbeskrivelse for dokumentdeling,,"Utviklerportalen til NHN inneholder blant annet informasjon om løsningskomponenter, grensesnitt og logging for dokumentdeling.",,,Teknisk,Eksisterer,Pasientens journaldokumenter,Norsk helsenett (NHN),Dokumentdeling (utviklerportal.nhn.no),https://utviklerportal.nhn.no/informasjonstjenester/pasientens-journaldokumenter-i-kjernejournal/
Krav og prinsipper ,EU-guidelines on patient summary,,Generelle retningslinjer fra EU om patient summary. Disse vil etter hvert komme som krav gjennom EHDS-forordningen. Disse retningslinjene legger grunnlaget for obligatoriske utvekslingsformater som er under utarbeidelse i EU. EU-guidelines tas hensyn til i arbeidet med nasjonale informasjonsmodeller for kritisk informasjon.,,,Semantisk,Eksisterer,Pasientens kritiske informasjon,EU-kommisjonen,EU-guidelines on patient summary (PDF) (health.ec.europa.eu),https://health.ec.europa.eu/document/download/e020f311-c35b-45ae-ba3d-03212b57fa65_en?filename=ehn_guidelines_patientsummary_en.pdf
Krav og prinsipper ,ePrescription and eDispensation of Authorised Medicinal Products,,"Spesifikasjon av utvekslingsformat og informasjonselementene
fra EU om digital forskrivning og utlevering legemidler. Dette vil etter hvert komme som krav gjennom EHDS-forordningen. Dette tas hensyn til i arbeidet med nasjonale informasjonsmodeller for pasientens legemiddelliste.",,,"Organisatorisk, Semantisk, Teknisk",Eksisterer,Pasientens legemiddelliste,EU-kommisjonen,ePrescription and eDispensation of Authorised Medicinal Products (PDF) (ec.europa.eu),https://health.ec.europa.eu/document/download/b744f30b-a05e-4b9c-9630-ad96ebd0b2f0_en?filename=ehn_guidelines_eprescriptions_en.pdf
Krav og prinsipper ,EU-guidelines on laboratory results,,Generelle retningslinjer fra EU om laboratoriesvar. Disse vil etter hvert komme som krav gjennom EHDS-forordningen. Disse retningslinjene legger grunnlaget for obligatoriske utvekslingsformater som er under utarbeidelse i EU.,,,Semantisk,Eksisterer,Pasientens prøvesvar,EU-kommisjonen,EU-guidelines on laboratory results (health.ec.europa.eu),https://health.ec.europa.eu/publications/ehn-laboratory-result-guidelines_en
Krav og prinsipper ,Rundskriv til legemiddelhåndteringsforskriften (IS-7/2015),,"Rundskrivet inneholder en mer detaljert beskrivelse av hvordan forskriften skal forstås, samt en veiledning som gir råd og praktiske eksempler for å kunne opprettholde gode rutiner og sikre kvalitet i legemiddelhåndteringen.",,,Organisatorisk,Eksisterer,Pasientens legemiddelliste,Helsedirektoratet,Rundskriv til legemiddelhåndteringsforskriften (IS-7/2015) (PDF) (hdir.no),https://www.helsedirektoratet.no/rundskriv/legemiddelhandteringsforskriften-med-kommentarer/Legemiddelh%C3%A5ndteringsforskriften%20med%20kommentarer%20(rev)%20%E2%80%93%20Rundskriv.pdf/_/attachment/inline/506142af-6a2f-407f-8f3d-b87d3adc3cd5:81191d21a0a9e3131cb80deff61f723499f3f65c/Legemiddelh%C3%A5ndteringsforskriften%20med%20kommentarer%20(rev)%20%E2%80%93%20Rundskriv.pdf
Krav og prinsipper ,"Implementation guide for Norwegian usage of IHE XDS, XCA and XUA",,"Implementasjonsguide som beskriver norsk bruk av IHE integrasjonsprofiler basert på XDS, XCA og XUA. Dokumentet beskriver også utvidelser og begrensninger for aktører og transaksjoner i profilene.",,,"Semantisk, Teknisk",Eksisterer,Pasientens journaldokumenter,Norsk helsenett (NHN),"Implementation guide for Norwegian usage of IHE XDS, XCA and XUA (PDF) (nhn.no)",https://utviklerportal-dev.utvikling.nhn.no/media/2ujlacuk/implementation-guide-for-norwegian-usage-of-ihe-xds-xca-and-xua.pdf
Krav og prinsipper ,Implementeringsveiledning FEST,,Implementeringsveiledningen er Direktoratet for medisinske produkter sin dokumentasjon av meldingen for forskrivnings- og ekspedisjonsstøtte (FEST).,,,Semantisk,Eksisterer,Pasientens legemiddelliste,Direktoratet for medisinske produkter,Implementeringsveiledning FEST (dmp.no),https://www.dmp.no/om-oss/distribusjon-av-legemiddeldata/fest/hvordan-bruke-fest#Implementeringsveiledning-FEST-1
Krav og prinsipper ,Krav til utleverere av medikamenter,,"Kravdokumentene beskriver funksjonalitet knyttet til e-reseptmeldinger som benyttes i kommunikasjon mellom utleverersystemer og Reseptformidleren, samt meldinger som benyttes i oppgjørsløsningen mot Helfo.",,,Teknisk,Eksisterer,Pasientens legemiddelliste,Norsk helsenett (NHN),Krav til utleverere av medikamenter (nhn.no),https://e-resept.atlassian.net/wiki/spaces/ERDOK/pages/953685209/Krav+til+utleverere
